het,wheel-base,length,width,curb-weight,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
1,96.3,173,65.4,2328,4,122,88,25,32,8499
1,95.9,173.2,66.3,2833,4,156,145,19,24,12629
1,95.9,173.2,66.3,2921,4,156,145,19,24,14869
1,95.9,173.2,66.3,2926,4,156,145,19,24,14489
1,96.3,172.4,65.4,2365,4,122,88,25,32,6989
1,96.3,172.4,65.4,2405,4,122,88,25,32,8189
1,96.3,172.4,65.4,2403,4,110,116,23,30,9279
1,96.3,172.4,65.4,2403,4,110,116,23,30,9279
1,94.5,165.3,63.8,1889,4,97,69,31,37,5499
1,94.5,165.3,63.8,2017,4,103,55,45,50,7099
1,94.5,165.3,63.8,1918,4,97,69,31,37,6649
1,94.5,165.3,63.8,1938,4,97,69,31,37,6849
1,94.5,170.2,63.8,2024,4,97,69,31,37,7349
1,94.5,165.3,63.8,1951,4,97,69,31,37,7299
1,94.5,165.6,63.8,2028,4,97,69,31,37,7799
1,94.5,165.3,63.8,1971,4,97,69,31,37,7499
1,94.5,170.2,63.8,2037,4,97,69,31,37,7999
1,95.1,162.4,63.8,2008,4,97,69,31,37,8249
1,97.2,173.4,65.2,2324,4,120,97,27,34,8949
1,97.2,173.4,65.2,2302,4,120,97,27,34,9549
1,100.4,181.7,66.5,3095,6,181,152,17,22,13499
1,100.4,184.6,66.5,3296,6,181,152,17,22,14399
1,100.4,184.6,66.5,3060,6,181,152,19,25,13499
1,91.3,170.7,67.9,3071,6,181,160,19,25,17199
1,91.3,170.7,67.9,3139,6,181,200,17,23,19699
1,99.2,178.5,67.9,3139,6,181,160,19,25,18399
1,107.9,186.7,68.4,3020,4,120,97,19,24,11900
1,107.9,186.7,68.4,3197,4,152,95,28,33,13200
1,114.2,198.9,68.4,3230,4,120,97,19,24,12440
1,114.2,198.9,68.4,3430,4,152,95,25,25,13860
1,107.9,186.7,68.4,3075,4,120,95,19,24,15580
1,107.9,186.7,68.4,3252,4,152,95,28,33,16900
1,114.2,198.9,68.4,3285,4,120,95,19,24,16695
1,114.2,198.9,68.4,3485,4,152,95,25,25,17075
1,107.9,186.7,68.4,3075,4,120,97,19,24,16630
1,107.9,186.7,68.4,3252,4,152,95,28,33,17950
1,108,186.7,68.3,3130,4,134,142,18,24,18150
1,93.7,157.3,63.8,1918,4,90,68,37,41,5572
1,93.7,157.3,63.8,2128,4,98,102,24,30,7957
1,93.7,157.3,63.8,1967,4,90,68,31,38,6229
1,93.7,167.3,63.8,1989,4,90,68,31,38,6692
1,93.7,167.3,63.8,2191,4,98,68,31,38,7609
1,103.3,174.6,64.6,2535,4,122,88,24,30,8921
1,95.9,173.2,66.3,2818,4,156,145,19,24,12764
1,94.5,168.9,68.3,2778,4,151,143,19,27,22018
1,89.5,168.9,65,2756,6,194,207,17,25,32528
1,89.5,168.9,65,2756,6,194,207,17,25,34028
1,89.5,168.9,65,2800,6,194,207,17,25,37028
1,99.1,186.6,66.5,2658,4,121,110,21,28,11850
1,99.1,186.6,66.5,2695,4,121,110,21,28,12170
1,99.1,186.6,66.5,2707,4,121,110,21,28,15040
1,99.1,186.6,66.5,2758,4,121,110,21,28,15510
1,99.1,186.6,66.5,2808,4,121,160,19,26,18150
1,99.1,186.6,66.5,2847,4,121,160,19,26,18620
1,93.7,156.9,63.4,2050,4,97,69,31,36,5118
1,93.7,157.9,63.6,2120,4,108,73,26,31,7053
1,93.3,157.3,63.8,2240,4,108,73,26,31,7603
1,97.2,172,65.4,2145,4,108,82,32,37,7126
1,97.2,172,65.4,2190,4,108,82,28,33,7775
1,97.2,172,65.4,2340,4,108,94,26,32,9960
1,97,172,65.4,2385,4,108,82,24,25,9233
1,97,172,65.4,2510,4,108,111,24,29,11259
1,97,173.5,65.4,2290,4,108,82,28,32,7463
1,97,173.5,65.4,2455,4,108,94,25,31,10198
1,96.9,173.6,65.4,2420,4,108,82,23,29,8013
1,96.9,173.6,65.4,2650,4,108,111,23,23,11694
1,95.7,158.7,63.6,1985,4,92,62,35,39,5348
1,95.7,158.7,63.6,2040,4,92,62,31,38,6338
1,95.7,158.7,63.6,2015,4,92,62,31,38,6488
1,95.7,169.7,63.6,2280,4,92,62,31,37,6918
1,95.7,169.7,63.6,2290,4,92,62,27,32,7898
1,95.7,169.7,63.6,3110,4,92,62,27,32,8778
1,95.7,166.3,64.4,2081,4,98,70,30,37,6938
1,95.7,166.3,64.4,2109,4,98,70,30,37,7198
1,95.7,166.3,64.4,2275,4,110,56,34,36,7898
1,95.7,166.3,64.4,2275,4,110,56,38,47,7788
1,95.7,166.3,64.4,2094,4,98,70,38,47,7738
1,95.7,166.3,64.4,2122,4,98,70,28,34,8358
1,95.7,166.3,64.4,2140,4,98,70,28,34,9258
1,94.5,168.7,64,2169,4,98,70,29,34,8058
1,94.5,168.7,64,2204,4,98,70,29,34,8238
1,94.5,168.7,64,2265,4,98,112,26,29,9298
1,94.5,168.7,64,2300,4,98,112,26,29,9538
1,98.4,176.2,65.6,2540,4,146,116,24,30,8449
1,98.4,176.2,65.6,2536,4,146,116,24,30,9639
1,98.4,176.2,65.6,2551,4,146,116,24,30,9989
1,98.4,176.2,65.6,2679,4,146,116,24,30,11199
1,98.4,176.2,65.6,2714,4,146,116,24,30,11549
1,98.4,176.2,65.6,2975,4,146,116,24,30,17669
1,102.4,175.6,66.5,2326,4,122,92,29,34,8948
1,102.4,175.6,66.5,2480,4,110,73,30,33,10698
1,102.4,175.6,66.5,2414,4,122,92,27,32,9988
1,102.4,175.6,66.5,2414,4,122,92,27,32,10898
1,102.4,175.6,66.5,2458,4,122,92,27,32,11248
1,102.9,183.5,67.7,2976,6,171,161,20,24,16558
1,102.9,183.5,67.7,3016,6,171,161,19,24,15998
1,104.5,187.8,66.5,3131,6,171,156,20,24,15690
1,104.5,187.8,66.5,3151,6,161,156,19,24,15750
1,97.3,171.7,65.5,2261,4,97,52,37,46,7775
1,97.3,171.7,65.5,2209,4,109,85,27,34,7975
1,97.3,171.7,65.5,2264,4,97,52,37,46,7995
1,97.3,171.7,65.5,2212,4,109,85,27,34,8195
1,97.3,171.7,65.5,2275,4,109,85,27,34,8495
1,97.3,171.7,65.5,2319,4,97,68,37,42,9495
1,97.3,171.7,65.5,2300,4,109,100,26,32,9995
1,94.5,159.3,64.2,2254,4,109,90,24,29,11595
1,94.5,165.7,64,2221,4,109,90,24,29,9980
1,100.4,180.2,66.9,2661,5,136,110,19,24,13295
1,100.4,180.2,66.9,2579,4,97,68,33,38,13845
1,100.4,183.1,66.9,2563,4,109,88,25,31,12290
1,104.3,188.8,67.2,2912,4,141,114,23,28,12940
1,104.3,188.8,67.2,3034,4,141,114,23,28,13415
1,104.3,188.8,67.2,2935,4,141,114,24,28,15985
1,104.3,188.8,67.2,3042,4,141,114,24,28,16515
1,104.3,188.8,67.2,3045,4,130,162,17,22,18420
1,104.3,188.8,67.2,3157,4,130,162,17,22,18950
1,109.1,188.8,68.9,2952,4,141,114,23,28,16845
1,109.1,188.8,68.8,3049,4,141,160,19,25,19045
1,109.1,188.8,68.9,3012,6,173,134,18,23,21485
1,109.1,188.8,68.9,3217,6,145,106,26,27,22470
1,109.1,188.8,68.9,3062,4,141,114,19,25,22625
